ilat	ilon	d	mrad
0	2	2014-11-23	43.30003329885228
0	2	2015-01-06	41.00149726203515
1	0	2014-07-08	48.39757626108263
1	2	2014-06-03	47.845662957289335
1	2	2015-01-19	44.80056905763557
2	0	2014-10-02	48.79585804028457
2	2	2014-08-28	48.71975086175854
2	2	2014-11-13	47.01207733154297
1	0	2014-02-28	44.71825667719953
1	0	2014-09-07	47.95272096845244
2	2	2014-12-19	43.90866944686226
0	0	2014-05-20	47.688472510331515
0	2	2014-01-29	43.49920038165468
0	2	2014-08-21	45.52387511168475
1	0	2014-01-09	43.64716931784206
1	0	2014-12-05	44.02042006466906
0	2	2014-03-02	44.127732379095896
0	2	2014-09-06	45.38090656551856
1	0	2014-08-09	47.23165866655358
1	0	2014-09-10	45.944681252161665
1	1	2014-05-30	47.65916419184165
2	0	2014-03-09	46.54342544330839
0	0	2014-04-09	45.17149613962064
0	1	2014-06-03	45.181589296505216
0	1	2014-07-24	45.02838874121435
1	2	2014-11-26	44.83705410187299
2	2	2014-09-22	47.90686340642169
2	2	2014-10-29	43.90787368403277
2	2	2014-12-13	40.37580409682857
0	0	2014-05-24	46.183291420012544
0	0	2014-09-01	44.86990728252018
0	2	2015-01-17	42.56071636409434
2	2	2014-03-08	49.38289048831457
1	0	2014-07-12	48.625517581006605
1	1	2014-07-16	49.30139043600755
2	0	2014-07-26	49.05298368202872
2	1	2014-01-14	40.60450761968439
2	1	2014-01-30	41.75428930025941
2	1	2014-02-05	44.8599801951715
2	2	2014-05-25	51.298212652048356
0	2	2014-08-23	44.74245967326753
1	0	2014-05-01	47.60918132445955
1	1	2014-05-19	49.95691347753765
1	1	2014-08-28	47.34809856009709
1	1	2014-11-13	44.57922641105122
0	0	2014-07-25	45.16783151628996
0	2	2014-09-11	45.13814511855462
0	2	2014-09-24	44.004903774423575
1	0	2014-01-06	42.11598706334297
1	0	2014-01-08	42.00917589293686
1	1	2014-06-10	48.941825984797916
1	1	2014-11-01	43.8941285212607
2	0	2014-09-13	48.1793100320242
0	2	2014-08-18	47.254396209036614
0	2	2014-10-20	44.95876948703782
1	0	2014-03-31	46.05777386994104
1	2	2014-09-09	46.880310797320746
0	1	2014-05-02	45.42530531049127
1	0	2014-05-14	49.65216508035471
2	0	2014-03-31	47.182761694255625
2	1	2014-06-06	51.01821942584505
2	2	2014-09-09	49.20806042625225
0	1	2014-01-06	42.225337144395375
0	1	2014-01-08	41.61304461687013
1	1	2014-06-25	50.26281641393823
2	0	2014-11-26	43.425623537019916
2	1	2014-04-27	48.70659908904551
0	2	2014-01-02	42.486944196606984
0	2	2014-09-10	47.28749567360316
0	2	2014-11-10	44.05094057212313
1	2	2014-10-05	49.11079011600258
2	0	2014-05-13	50.900272054461354
2	0	2014-07-04	51.30447800070304
2	1	2014-04-16	49.87576145979478
2	2	2014-03-19	49.15968126806247
2	2	2014-12-28	44.267554168701174
0	1	2014-07-03	46.83613155505112
0	1	2014-08-29	44.237454736264375
1	1	2014-10-18	43.90884939298425
0	0	2014-01-25	42.66715083638622
0	1	2014-09-11	45.10919243962681
0	1	2014-09-24	44.60914740911692
1	2	2014-08-10	46.39522644158705
0	0	2014-02-02	43.15390975033646
0	2	2014-04-19	46.70904878954271
1	1	2014-01-10	42.11206139192403
1	2	2014-06-13	49.594367183282124
0	2	2014-04-23	44.871363716887764
